softwareComponent,applicationComponent,objectType,objectName,classification,comment,successorObjectType,successorObjectName
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_ANA_GSR_ADP_ABS_CMN,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE,CLAS,/IWBEP/CL_COS_LOGGER,TI3,,,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_EPM_DEV_SC2_MPC,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_GWSAMPLE_BAS_MPC,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_ABS_DATA,TI3,,,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_ABS_MODEL,TI3,,,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_BOP_COMMON,TI3,,,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_BOP_COMMON_RFC,TI3,,,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_BOP_DO,TI3,,,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_DATA_UTIL,TI3,,,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_EXPAND_NODE,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-TLS,CLAS,/IWBEP/CL_MGW_GEN_METADATA_MGR,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_GSR_EDP_RO_BASE,TI3,,,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_LOCAL_HANDLER,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_MED_ABS_ITEM,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_MED_MODEL_UTIL,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_MED_REG_API,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_MSG_CONTAINER,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_ODATA_MODEL,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_PUSH_ABS_DATA,TI3,,,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_PUSH_ABS_MODEL,TI3,,,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_REMOTE_HANDLER,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_REQUEST,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_RUNT_REMOTE_UTIL,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_VOCAN_ITEM_BASE,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CL_MGW_VOCAN_MODEL,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SB_CONVERT_FIELDS,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SB_GEN_DPC_DT_UTIL,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SB_GEN_DPC_RT_UTIL,TI3,,,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SB_GEN_READ_AFTR_CRT,TI3,,,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SB_SHLP_DATA_FACTORY,TI3,,,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBDM,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBDM_FINDER,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBDM_NODE,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBDM_PERSIST_HANDLER,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBDM_PLUGIN,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBDM_VALIDATOR,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBDSP_DS_PROVIDER,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBOD,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBOD_ANNOTATION_TRGT,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBOD_EDM_CORE_DESC,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBOD_LABEL,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBOD_PROPERTY,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBOD_REF_CONST,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBOD_UTIL,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBUI_COMMAND,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBUI_COMPONENT,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBUI_CONTROL_HANDLER,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBUI_DP_DS_TREE_ABTR,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBUI_DYNPRO,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBUI_DYNPRO_HANDLER,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBUI_GUIDED_ACTIVITY,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBUI_OD_ALV,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBUI_ON_ALV_EXPV,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBUI_PLUGIN,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBUI_SCREEN,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBUI_SUBSCREEN,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBUI_VIEW,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CL_SBUI_VIEW_GRID,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE,CLAS,/IWBEP/CL_SUTIL_MONI,TI3,,,
SAP_BASIS,OPU-BSE,CLAS,/IWBEP/CL_SUTIL_RUNTIME,TI3,,,
SAP_BASIS,OPU-BSE,CLAS,/IWBEP/CL_SUTIL_XML_HELPER,TI3,,,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CL_V4_ABS_DATA_PROVIDER,TI3,,,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CL_V4_ANNO_ITEM_BASE,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CL_V4_ANNO_MODEL,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CL_V4_AUTHORITY_CHECK,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CL_V4_EXPAND_NODE,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CL_V4_MED_ABS_ELEMENT,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CL_V4_MED_MODEL_UTIL,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CL_V4_MED_PRIM_PROP,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CL_V4_REQUEST_INFO_PRO,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CL_V4_RESPONSE_INFO_PRO,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CL_V4_TRACER,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CX_GATEWAY,TI3,,,
